1	544
1	1483
1	1871
1	1959
1	4093
1	4192
1	4249
1	4263
1	4324
1	4625
2	2372
2	2587
2	3181
2	3387
2	3703
2	3795
2	3952
2	4069
2	4827
2	4941
3	143
3	678
3	1052
3	1717
3	1972
3	2262
3	2350
3	2420
3	3999
3	4905
4	2343
4	3273
4	3309
4	3615
4	3751
4	3926
4	3955
4	4486
4	4910
4	4914
5	63
5	563
5	724
5	2556
5	2734
5	2755
5	2787
5	3248
5	3994
5	4379
6	516
6	592
6	1396
6	1903
6	2228
6	2482
6	3104
6	3583
6	3738
6	4944
7	830
7	1929
7	4180
7	4240
7	4313
7	4420
7	4491
7	4519
7	4581
7	4988
8	1737
8	3895
8	4350
8	4668
8	4708
8	4734
8	4778
8	4817
8	4872
8	4901
9	1302
9	1470
9	1553
9	1670
9	2173
9	2280
9	2685
9	3045
9	3500
9	3851
10	1185
10	1565
10	1739
10	2259
10	2597
10	3654
10	3719
10	3781
10	4282
10	4583
11	179
11	1901
11	2096
11	2286
11	2415
11	2528
11	2671
11	3055
11	3639
11	4488
12	261
12	887
12	1168
12	1175
12	1177
12	1236
12	2037
12	3885
12	4187
12	4369
13	667
13	2959
13	4298
13	4416
13	4508
13	4561
13	4569
13	4586
13	4656
13	4748
14	2538
14	3222
14	3299
14	3317
14	3508
14	4426
14	4666
14	4866
14	4891
14	4982
15	4038
15	4374
15	4411
15	4441
15	4463
15	4513
15	4776
15	4931
15	4945
15	4946
16	1824
16	2344
16	2652
16	2905
16	3014
16	3295
16	3441
16	4159
16	4184
16	4806
17	2146
17	2565
17	3242
17	4019
17	4137
17	4177
17	4622
17	4776
17	4838
17	4972
18	706
18	986
18	1428
18	3028
18	3173
18	3329
18	3541
18	4143
18	4194
18	4870
19	597
19	1794
19	2005
19	2340
19	3464
19	3569
19	3642
19	3879
19	4020
19	4683
20	1740
20	1884
20	2616
20	2700
20	2891
20	3198
20	4399
20	4437
20	4590
20	4908
21	175
21	329
21	355
21	1131
21	1760
21	2244
21	2483
21	4013
21	4239
21	4803
22	3480
22	4071
22	4433
22	4443
22	4459
22	4815
22	4895
22	4951
22	4956
22	4968
23	2921
23	2940
23	3372
23	3558
23	3735
23	4120
23	4385
23	4427
23	4542
23	4549
24	3041
24	3386
24	3626
24	3671
24	3713
24	4759
24	4777
24	4854
24	4976
24	4977
25	876
25	889
25	1251
25	1631
25	2256
25	3109
25	4226
25	4568
25	4715
25	4800
26	1115
26	3054
26	3083
26	3578
26	3953
26	4419
26	4577
26	4745
26	4797
26	4943
27	620
27	1791
27	2041
27	2424
27	3023
27	3124
27	4161
27	4284
27	4428
27	4523
28	181
28	1454
28	1471
